timestamp,open,high,low,close,volume,hour,minute,is_asia,is_ny_am
2025-02-20 13:00:00-05:00,1.04866,1.04985,1.0486,1.049795,13469.739906020463,13,0,False,False
2025-02-20 14:00:00-05:00,1.049715,1.05032,1.04895,1.05016,10124.499937079847,14,0,False,False
2025-02-20 15:00:00-05:00,1.0500150000000001,1.050305,1.0495450000000002,1.05029,8283.220043346286,15,0,False,False
2025-02-20 16:00:00-05:00,1.050235,1.05033,1.050055,1.050125,4273.074506148696,16,0,False,False
2025-02-20 17:00:00-05:00,1.05016,1.05016,1.049795,1.04981,2868.41997744143,17,0,False,False
2025-02-20 18:00:00-05:00,1.05007,1.050455,1.0500150000000001,1.05004,3339.2799583375454,18,0,False,False
2025-02-20 19:00:00-05:00,1.049915,1.049955,1.0489549999999999,1.049015,5927.929918564856,19,0,False,False
2025-02-20 20:00:00-05:00,1.049045,1.04927,1.048505,1.04868,10986.469877801836,20,0,False,False
2025-02-20 21:00:00-05:00,1.04875,1.050275,1.0486900000000001,1.050275,13209.919850341976,21,0,False,False
2025-02-20 22:00:00-05:00,1.050115,1.05042,1.050075,1.05026,8210.829904176295,22,0,False,False
2025-02-20 23:00:00-05:00,1.050165,1.050475,1.049795,1.0499100000000001,6443.379932738841,23,0,False,False
2025-02-21 00:00:00-05:00,1.0500099999999999,1.05004,1.0492249999999999,1.0493100000000002,9908.059889763594,0,0,True,False
2025-02-21 01:00:00-05:00,1.04936,1.04936,1.048825,1.0488650000000002,11492.729879170656,1,0,True,False
2025-02-21 02:00:00-05:00,1.04909,1.0499100000000001,1.04909,1.04921,13769.609845101833,2,0,True,False
2025-02-21 03:00:00-05:00,1.04918,1.04936,1.047155,1.047675,24757.529734373093,3,0,True,False
2025-02-21 04:00:00-05:00,1.047975,1.04807,1.0468000000000002,1.0469249999999999,16456.779807716608,4,0,True,False
2025-02-21 05:00:00-05:00,1.0469249999999999,1.047155,1.046525,1.046525,12887.6698281914,5,0,False,False
2025-02-21 06:00:00-05:00,1.04638,1.0474,1.04637,1.04692,14513.649838604033,6,0,False,False
2025-02-21 07:00:00-05:00,1.04698,1.04708,1.045995,1.0462,14291.659848295152,7,0,False,False
2025-02-21 08:00:00-05:00,1.046275,1.0477249999999998,1.046225,1.047525,14654.249803774059,8,0,False,False
2025-02-21 09:00:00-05:00,1.047785,1.048995,1.047115,1.0481449999999999,25098.409746319056,9,0,False,False
2025-02-21 10:00:00-05:00,1.048475,1.048475,1.04536,1.045415,31982.509713046253,10,0,False,True
2025-02-21 11:00:00-05:00,1.04572,1.04572,1.0449899999999999,1.04547,19349.869834147394,11,0,False,False
2025-02-21 12:00:00-05:00,1.04556,1.046415,1.045275,1.04631,15871.609902255237,12,0,False,False
2025-02-21 13:00:00-05:00,1.0462449999999999,1.04667,1.045115,1.04599,18937.37987868488,13,0,False,False
2025-02-21 14:00:00-05:00,1.046025,1.046615,1.04574,1.04622,15153.359908245504,14,0,False,False
2025-02-21 15:00:00-05:00,1.0461550000000002,1.04645,1.045905,1.0460699999999998,12505.87891882658,15,0,False,False
2025-02-21 16:00:00-05:00,1.04612,1.0462,1.0459,1.04602,7393.949931330979,16,0,False,False
2025-02-23 17:00:00-05:00,1.04707,1.047705,1.0462150000000001,1.0474899999999998,8801.14992185682,17,0,False,False
2025-02-23 18:00:00-05:00,1.0473599999999998,1.0484499999999999,1.0473599999999998,1.0474,5889.869940035045,18,0,False,False
2025-02-23 19:00:00-05:00,1.047305,1.050595,1.04725,1.05042,13374.83987300843,19,0,False,False
2025-02-23 20:00:00-05:00,1.050745,1.05199,1.0503149999999999,1.051815,22742.39972215891,20,0,False,False
2025-02-23 21:00:00-05:00,1.05191,1.0527799999999998,1.051605,1.0523,20178.019809909165,21,0,False,False
2025-02-23 22:00:00-05:00,1.052155,1.052505,1.051685,1.05195,12269.959851242602,22,0,False,False
2025-02-23 23:00:00-05:00,1.052055,1.052055,1.051205,1.051565,9740.699888259172,23,0,False,False
2025-02-24 00:00:00-05:00,1.051445,1.051955,1.051045,1.05165,12632.969849273562,0,0,True,False
2025-02-24 01:00:00-05:00,1.0515599999999998,1.0515599999999998,1.050145,1.0508950000000001,11863.669867016375,1,0,True,False
2025-02-24 02:00:00-05:00,1.051085,1.051395,1.048825,1.049115,18065.21978342533,2,0,True,False
2025-02-24 03:00:00-05:00,1.04916,1.04916,1.047215,1.04801,22761.149767950177,3,0,True,False
2025-02-24 04:00:00-05:00,1.04792,1.048425,1.04691,1.047205,17366.80979640782,4,0,True,False
2025-02-24 05:00:00-05:00,1.04684,1.048035,1.04673,1.04803,16822.279812105,5,0,False,False
2025-02-24 06:00:00-05:00,1.04803,1.04803,1.046465,1.04685,9466.889880336821,6,0,False,False
2025-02-24 07:00:00-05:00,1.0468199999999999,1.047185,1.0460699999999998,1.0469,11876.529843181372,7,0,False,False
2025-02-24 08:00:00-05:00,1.046975,1.04752,1.04661,1.0466950000000002,14624.869812332094,8,0,False,False
2025-02-24 09:00:00-05:00,1.0468950000000001,1.046955,1.04536,1.046055,20130.57977385074,9,0,False,False
2025-02-24 10:00:00-05:00,1.04623,1.0469650000000001,1.04611,1.0469050000000002,26248.939739257097,10,0,False,True
2025-02-24 11:00:00-05:00,1.0468899999999999,1.0478100000000001,1.046705,1.0477750000000001,19504.80982528627,11,0,False,False
2025-02-24 12:00:00-05:00,1.0478200000000002,1.04831,1.0472000000000001,1.04724,14862.07987704873,12,0,False,False
2025-02-24 13:00:00-05:00,1.04726,1.04854,1.04719,1.048055,9262.799915902317,13,0,False,False
2025-02-24 14:00:00-05:00,1.04823,1.048355,1.04732,1.04752,13599.119905821979,14,0,False,False
2025-02-24 15:00:00-05:00,1.047495,1.047875,1.046485,1.0465149999999999,13873.399879038334,15,0,False,False
2025-02-24 16:00:00-05:00,1.046265,1.046805,1.04622,1.0467650000000002,8304.429920911789,16,0,False,False
2025-02-24 17:00:00-05:00,1.046785,1.04696,1.04665,1.0469300000000001,2481.0599679499865,17,0,False,False
2025-02-24 18:00:00-05:00,1.0467149999999998,1.0467149999999998,1.04607,1.04614,3233.3199803978205,18,0,False,False
2025-02-24 19:00:00-05:00,1.04617,1.04638,1.0460099999999999,1.04634,4731.429944105446,19,0,False,False
2025-02-24 20:00:00-05:00,1.046435,1.04654,1.046145,1.0465200000000001,13166.36983589083,20,0,False,False
2025-02-24 21:00:00-05:00,1.046615,1.04746,1.046575,1.04746,15944.139855660498,21,0,False,False
2025-02-24 22:00:00-05:00,1.04749,1.04758,1.0471650000000001,1.04733,12924.70986250043,22,0,False,False
2025-02-24 23:00:00-05:00,1.04742,1.04767,1.0472899999999998,1.047315,9732.719914369285,23,0,False,False
2025-02-25 00:00:00-05:00,1.047285,1.0477850000000002,1.04726,1.0477,8065.329907692969,0,0,True,False
2025-02-25 01:00:00-05:00,1.047615,1.04791,1.04729,1.04771,9272.919894099236,1,0,True,False
2025-02-25 02:00:00-05:00,1.0476649999999998,1.047685,1.04643,1.04643,15678.42982377857,2,0,True,False
2025-02-25 03:00:00-05:00,1.046055,1.047795,1.045685,1.047025,20972.749765515327,3,0,True,False
2025-02-25 04:00:00-05:00,1.04712,1.0477599999999998,1.046905,1.04732,21644.47979351878,4,0,True,False
