trade_type,Trades,Wins,Losses,Win_Rate,Net_Profit,Average_PnL,Average_Holding_Hours
BUY,110,45,65,40.909090909090914,2599.3700000000003,23.630636363636366,102.6
SELL,113,36,76,31.858407079646017,-664.5699999999998,-5.881150442477875,87.625
